FSD_ID	EPIC	OWNER	FOLDER	NOTE
UBBPMA1	TSC-28363	Reni-Antonio	UBBPMA1_a1-movements	correction overlay
UBBPMBDG	TSC-17856	Neda	UBBPMBDG_budget	
UBBPMFCY05	UNKNOWN	UNKNOWN	UBBPMFCY05_sepa-instant	empty cells on photo
UBBCSHAD	TSC-30860	Niki	UBBCSHAD_cash-admin	
UBBCSHMN	TSC-17854	Reni	UBBCSHMN_cash-mgmt	COLLISION with TSC-17855
UBBPMDD	TSC-17855	Antonio	UBBPMDD_direct-debits	
UBBPMBLK	TSC-17865	Vassil	UBBPMBLK_bulk	
UBBPMINTL	TSC-17852	Antonio	UBBPMINTL_internal-payments	
UBBPMPRL	TSC-17866	Antonio	UBBPMPRL_payroll	
UBBPMENTF	TSC-17666	Reni	UBBPMENTF_enotif	
UBBSFBXS	TSC-22973	Garbis	UBBSFBXS_safebox	
UBBPMNR	TSC-17858	Reni	UBBPMNR_nostro	
UBBPMFCY02	TSC-17867	Niki	UBBPMFCY02_sepa	
UBBPMFCY03	TSC-17849	Neda	UBBPMFCY03_sepa-rmsg	
UBBPMSMS	TSC-17850	Niki	UBBPMSMS_sms	
UBBPMSTO	TSC-21194	Niki	UBBPMSTO_standing	
UBBPMFCY01	TSC-17863	Neda	UBBPMFCY01_swift	
UBBPMFCY04	TSC-17848	Niki	UBBPMFCY04_target	
UBBCSHTLR	TSC-17851	Garbis	UBBCSHTLR_teller	
UBBPMINS	TSC-17862	Reni	UBBPMINS_blink	
UBBPMUTL	TSC-17853	Vassil	UBBPMUTL_ucollect	
UBBPMWRN	TSC-17864	Vassil	UBBPMWRN_warrant	
UNKNOWN	TSC-30913	Garbis	TSC-30913_unknown	name not on photo
